epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7416,1.87057,2.81097,1.57284,0.72368,0.63889,0.70128,0.34897,1.68601,1.65874,1.40014,0.00332051,0.00332051,0.00332051
2,124.633,1.72389,1.50524,1.34065,0.78252,0.69962,0.7903,0.39557,1.68041,1.22372,1.35801,0.00658797,0.00658797,0.00658797
3,208.151,1.75709,1.32369,1.36357,0.68624,0.56251,0.63027,0.28768,1.80935,1.71023,1.48668,0.00978943,0.00978943,0.00978943
4,339.307,1.79501,1.29903,1.40325,0.74638,0.63849,0.7298,0.34227,1.82881,1.25095,1.45617,0.009703,0.009703,0.009703
5,432.875,1.75181,1.1914,1.3815,0.79397,0.68966,0.79853,0.40212,1.74026,1.18055,1.43042,0.009604,0.009604,0.009604
6,530.454,1.73235,1.12976,1.36361,0.82183,0.76437,0.84759,0.43298,1.70207,1.00685,1.38854,0.009505,0.009505,0.009505
7,942.667,1.7011,1.08159,1.34274,0.83412,0.77011,0.86062,0.44279,1.68108,1.00131,1.37169,0.009406,0.009406,0.009406
8,1443.27,1.68512,1.04447,1.3373,0.82495,0.78546,0.86009,0.44779,1.6693,0.98099,1.38838,0.009307,0.009307,0.009307
9,1829.05,1.66177,1.02391,1.31821,0.85239,0.82413,0.89886,0.48123,1.62084,0.88865,1.35358,0.009208,0.009208,0.009208
10,2267.96,1.64344,0.98899,1.30615,0.88474,0.82711,0.89849,0.48873,1.60024,0.84808,1.34179,0.009109,0.009109,0.009109
11,2678.31,1.64496,0.94964,1.29774,0.87429,0.80603,0.89254,0.47316,1.64105,0.88324,1.36007,0.00901,0.00901,0.00901
12,3101.22,1.61832,0.91851,1.28964,0.87394,0.82567,0.90461,0.49356,1.5823,0.84621,1.31275,0.008911,0.008911,0.008911
13,3447.51,1.60692,0.92561,1.28032,0.8544,0.82854,0.90266,0.49176,1.58704,0.83011,1.32176,0.008812,0.008812,0.008812
14,3779.85,1.59402,0.8976,1.27709,0.90387,0.84148,0.92537,0.50997,1.583,0.79983,1.30117,0.008713,0.008713,0.008713
15,4107.11,1.57428,0.87614,1.26843,0.88863,0.85393,0.92286,0.5025,1.59814,0.8184,1.30923,0.008614,0.008614,0.008614
16,4480.83,1.58039,0.86825,1.26164,0.87574,0.72701,0.84781,0.43648,1.70234,0.97359,1.3754,0.008515,0.008515,0.008515
17,4851.32,1.57039,0.8526,1.25755,0.88872,0.82423,0.91606,0.50591,1.58674,0.81999,1.30368,0.008416,0.008416,0.008416
18,5219.71,1.56658,0.84562,1.25247,0.9208,0.88536,0.94446,0.53509,1.53466,0.7373,1.2786,0.008317,0.008317,0.008317
19,5531.61,1.57383,0.85095,1.25841,0.91195,0.89281,0.9424,0.52599,1.55321,0.73793,1.29546,0.008218,0.008218,0.008218
20,6251.53,1.55762,0.82835,1.25075,0.91512,0.85708,0.90641,0.50491,1.56159,0.7311,1.30375,0.008119,0.008119,0.008119
21,6516.36,1.55492,0.82223,1.24381,0.91611,0.89431,0.94722,0.5348,1.53104,0.70666,1.27709,0.00802,0.00802,0.00802
22,6838.69,1.53669,0.80216,1.23478,0.90792,0.88779,0.94234,0.5303,1.54604,0.71875,1.28211,0.007921,0.007921,0.007921
23,7099.93,1.52611,0.79863,1.22751,0.92794,0.89431,0.95049,0.54613,1.52296,0.68763,1.26268,0.007822,0.007822,0.007822
24,7347.49,1.52092,0.78375,1.2194,0.92443,0.90812,0.95131,0.5463,1.51941,0.68316,1.27158,0.007723,0.007723,0.007723
