epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4209,1.82467,2.09738,1.43543,0.73118,0.63266,0.72102,0.35571,1.74896,1.32683,1.45114,0.000665385,0.000665385,0.000665385
2,158.345,1.77552,1.34006,1.39115,0.73687,0.67999,0.7567,0.36236,1.75482,1.24035,1.44408,0.00130568,0.00130568,0.00130568
3,247.549,1.77615,1.26031,1.40555,0.76309,0.61351,0.70513,0.35457,1.78987,1.37957,1.48503,0.00191957,0.00191957,0.00191957
4,342.507,1.73189,1.17589,1.37863,0.49284,0.77921,0.47285,0.22501,1.69766,1.55086,1.37241,0.0018812,0.0018812,0.0018812
5,434.921,1.7143,1.12907,1.34667,0.8064,0.72079,0.81222,0.41605,1.72855,1.0569,1.39058,0.0018416,0.0018416,0.0018416
6,530.882,1.69085,1.07908,1.33126,0.82685,0.78904,0.8703,0.45988,1.63167,0.95109,1.35774,0.001802,0.001802,0.001802
7,625.019,1.68067,1.0438,1.32435,0.8501,0.77874,0.8683,0.44494,1.70123,0.95339,1.38825,0.0017624,0.0017624,0.0017624
8,716.95,1.67369,1.02816,1.31523,0.85532,0.78144,0.87379,0.47386,1.60843,0.94784,1.32683,0.0017228,0.0017228,0.0017228
9,811.371,1.63022,0.99246,1.30469,0.87472,0.8113,0.89537,0.48439,1.64305,0.88329,1.35557,0.0016832,0.0016832,0.0016832
10,913.787,1.63398,0.97142,1.29648,0.86311,0.83046,0.90238,0.49145,1.58592,0.85984,1.30112,0.0016436,0.0016436,0.0016436
11,1008.39,1.62764,0.93904,1.28797,0.88454,0.81817,0.90971,0.48608,1.62283,0.85043,1.33888,0.001604,0.001604,0.001604
12,1102.96,1.61414,0.92264,1.27825,0.89267,0.85641,0.92508,0.50311,1.59401,0.81493,1.31762,0.0015644,0.0015644,0.0015644
13,1197.48,1.59102,0.9011,1.26863,0.8939,0.85297,0.9256,0.50549,1.60856,0.80082,1.33266,0.0015248,0.0015248,0.0015248
14,1297.36,1.58264,0.88882,1.26201,0.89581,0.82423,0.91993,0.51631,1.5694,0.80649,1.30585,0.0014852,0.0014852,0.0014852
15,1394.45,1.57974,0.87352,1.26312,0.90876,0.84483,0.9317,0.52662,1.57459,0.78573,1.2971,0.0014456,0.0014456,0.0014456
16,1498.87,1.57029,0.85943,1.25339,0.89869,0.87519,0.93303,0.5227,1.56493,0.75208,1.28131,0.001406,0.001406,0.001406
17,1602.59,1.55414,0.83672,1.24003,0.90604,0.86825,0.9403,0.53388,1.54781,0.73603,1.27757,0.0013664,0.0013664,0.0013664
18,1707.2,1.55299,0.82471,1.23976,0.92278,0.88697,0.94942,0.53563,1.55102,0.70192,1.28039,0.0013268,0.0013268,0.0013268
19,1813.88,1.54976,0.8108,1.24054,0.91636,0.87261,0.94963,0.54087,1.5388,0.71441,1.27284,0.0012872,0.0012872,0.0012872
20,1918.11,1.5334,0.80516,1.22963,0.922,0.89442,0.9509,0.54065,1.53154,0.69942,1.26423,0.0012476,0.0012476,0.0012476
21,2022.54,1.52637,0.79205,1.22684,0.93629,0.90182,0.95532,0.5464,1.52554,0.68786,1.2732,0.001208,0.001208,0.001208
22,2130.92,1.514,0.7829,1.2256,0.9294,0.90134,0.95544,0.55283,1.54443,0.65455,1.26737,0.0011684,0.0011684,0.0011684
23,2232.45,1.50281,0.76373,1.21303,0.93719,0.90565,0.96077,0.55301,1.53136,0.66335,1.26212,0.0011288,0.0011288,0.0011288
24,2338.81,1.49364,0.74734,1.20536,0.938,0.89846,0.96155,0.55705,1.52092,0.65415,1.23948,0.0010892,0.0010892,0.0010892
25,2444.6,1.49544,0.73946,1.20385,0.9493,0.91461,0.96845,0.56515,1.49811,0.62851,1.22677,0.0010496,0.0010496,0.0010496
26,2554.31,1.47436,0.72655,1.19962,0.94118,0.90432,0.96064,0.56038,1.5106,0.64452,1.25208,0.00101,0.00101,0.00101
27,2659.92,1.47523,0.7234,1.19567,0.95033,0.91954,0.97052,0.57125,1.48355,0.61149,1.23919,0.0009704,0.0009704,0.0009704
28,2766.76,1.4658,0.71538,1.19514,0.94129,0.91667,0.96358,0.56902,1.48886,0.62038,1.24236,0.0009308,0.0009308,0.0009308
29,2853.42,1.46115,0.70924,1.19166,0.93905,0.92966,0.96971,0.57049,1.48871,0.6111,1.23579,0.0008912,0.0008912,0.0008912
30,2951.86,1.45171,0.69328,1.18272,0.9559,0.92241,0.97052,0.57555,1.48275,0.60331,1.23758,0.0008516,0.0008516,0.0008516
31,3056.02,1.44385,0.69092,1.1796,0.95039,0.92672,0.97021,0.57509,1.48402,0.59649,1.2287,0.000812,0.000812,0.000812
32,3158.98,1.44224,0.68946,1.18321,0.9505,0.9272,0.97253,0.57994,1.46756,0.58992,1.22634,0.0007724,0.0007724,0.0007724
33,3262.57,1.44377,0.67496,1.17686,0.94896,0.93495,0.97543,0.58337,1.46205,0.57576,1.21433,0.0007328,0.0007328,0.0007328
34,3366.86,1.422,0.66146,1.1654,0.95604,0.93741,0.97642,0.58544,1.46088,0.56511,1.21618,0.0006932,0.0006932,0.0006932
35,3474.57,1.41638,0.65561,1.15945,0.95505,0.93199,0.9729,0.58455,1.46536,0.56998,1.2178,0.0006536,0.0006536,0.0006536
36,3581.29,1.40533,0.65199,1.15618,0.95214,0.9387,0.97574,0.59207,1.45338,0.56567,1.2113,0.000614,0.000614,0.000614
37,3684.98,1.40359,0.64518,1.16222,0.95951,0.93439,0.97588,0.58647,1.45699,0.55413,1.2131,0.0005744,0.0005744,0.0005744
38,3790.48,1.38643,0.63394,1.1487,0.95994,0.93295,0.97662,0.59331,1.44094,0.55222,1.20788,0.0005348,0.0005348,0.0005348
39,3895.01,1.39476,0.63687,1.15604,0.95164,0.94828,0.97955,0.5932,1.448,0.54675,1.20764,0.0004952,0.0004952,0.0004952
40,3999.36,1.38467,0.63211,1.14516,0.96135,0.93726,0.97701,0.59142,1.44898,0.54143,1.20991,0.0004556,0.0004556,0.0004556
41,4104.43,1.3528,0.54078,1.1527,0.96139,0.94157,0.97885,0.59917,1.43101,0.53162,1.20473,0.000416,0.000416,0.000416
42,4209.82,1.33794,0.52846,1.14454,0.9658,0.94682,0.98002,0.60174,1.42761,0.52615,1.20403,0.0003764,0.0003764,0.0003764
43,4312.13,1.3278,0.51729,1.14166,0.96171,0.95022,0.98084,0.60441,1.42339,0.52803,1.19942,0.0003368,0.0003368,0.0003368
44,4421.67,1.31666,0.51412,1.13541,0.95846,0.95163,0.9804,0.60811,1.41884,0.52088,1.20043,0.0002972,0.0002972,0.0002972
45,4530.84,1.30266,0.50429,1.1327,0.96547,0.9507,0.98111,0.60677,1.42194,0.51577,1.20275,0.0002576,0.0002576,0.0002576
46,4635.35,1.29646,0.4938,1.12682,0.96504,0.95201,0.98177,0.61149,1.41722,0.51286,1.19938,0.000218,0.000218,0.000218
47,4743.74,1.2912,0.4907,1.12716,0.96645,0.95196,0.98225,0.61461,1.40701,0.50464,1.19241,0.0001784,0.0001784,0.0001784
48,4848.02,1.27699,0.48393,1.12065,0.95846,0.95785,0.98259,0.61772,1.39918,0.49602,1.18928,0.0001388,0.0001388,0.0001388
49,4955.27,1.27384,0.47958,1.11554,0.96336,0.95703,0.98224,0.62013,1.40356,0.49652,1.19052,9.92e-05,9.92e-05,9.92e-05
50,5059.55,1.26781,0.47566,1.11604,0.96812,0.95354,0.98375,0.61948,1.40186,0.49457,1.18894,5.96e-05,5.96e-05,5.96e-05
