epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2593.34,1.60019,0.905,1.36592,0.90225,0.85776,0.93109,0.51773,1.55528,0.76376,1.39859,0.007162,0.007162,0.007162
45,2653.62,1.60434,0.8983,1.36693,0.88435,0.84195,0.92151,0.5179,1.56108,0.78678,1.38547,0.007096,0.007096,0.007096
46,2712.08,1.59916,0.89625,1.35637,0.87306,0.83992,0.91418,0.50395,1.58448,0.82594,1.40357,0.00703,0.00703,0.00703
47,2770.24,1.59857,0.894,1.35744,0.89613,0.86494,0.93417,0.5252,1.56333,0.74409,1.39618,0.006964,0.006964,0.006964
48,2828.73,1.5959,0.8902,1.36049,0.90543,0.86204,0.93778,0.5201,1.55084,0.75807,1.39316,0.006898,0.006898,0.006898
49,2886.96,1.58727,0.89045,1.36136,0.89812,0.87644,0.93509,0.52214,1.54654,0.75282,1.39319,0.006832,0.006832,0.006832
50,2945.11,1.57866,0.87535,1.35124,0.90799,0.87117,0.94033,0.52944,1.54907,0.73491,1.40274,0.006766,0.006766,0.006766
51,3003.37,1.6012,0.87139,1.36717,0.90889,0.86973,0.93689,0.52019,1.55219,0.74983,1.39251,0.0067,0.0067,0.0067
52,3062.52,1.59043,0.88975,1.35328,0.9046,0.88104,0.93797,0.52972,1.54126,0.73407,1.38862,0.006634,0.006634,0.006634
53,3121.34,1.58037,0.86582,1.36084,0.91581,0.86686,0.93772,0.53168,1.53362,0.73151,1.38443,0.006568,0.006568,0.006568
54,3181.07,1.57258,0.86601,1.35578,0.90704,0.87391,0.94082,0.53563,1.52467,0.73237,1.38577,0.006502,0.006502,0.006502
55,3239.92,1.58343,0.86147,1.35214,0.90042,0.87914,0.94118,0.53859,1.5243,0.71272,1.37897,0.006436,0.006436,0.006436
56,3298.58,1.57709,0.86078,1.34421,0.90656,0.87818,0.94329,0.53848,1.52156,0.70951,1.37169,0.00637,0.00637,0.00637
57,3359.24,1.57626,0.85971,1.34342,0.91956,0.89416,0.95151,0.53773,1.52533,0.70479,1.36242,0.006304,0.006304,0.006304
58,3418.84,1.56021,0.84501,1.3359,0.92088,0.89191,0.95374,0.54493,1.51419,0.69933,1.36293,0.006238,0.006238,0.006238
59,3479.44,1.56721,0.84745,1.34465,0.9138,0.88845,0.94601,0.5435,1.50569,0.69869,1.36283,0.006172,0.006172,0.006172
60,3539.55,1.55464,0.84213,1.32991,0.91354,0.89574,0.94843,0.5486,1.51339,0.68936,1.3628,0.006106,0.006106,0.006106
61,3600.48,1.56371,0.83207,1.33131,0.92228,0.89511,0.95169,0.55381,1.49908,0.67796,1.3537,0.00604,0.00604,0.00604
62,3661.18,1.55353,0.82853,1.33116,0.9211,0.88889,0.95285,0.5507,1.50667,0.68834,1.35354,0.005974,0.005974,0.005974
63,3720.77,1.5604,0.84277,1.33244,0.9132,0.89655,0.94797,0.54736,1.50514,0.68212,1.36143,0.005908,0.005908,0.005908
64,3780.89,1.55916,0.82828,1.33009,0.92074,0.87908,0.9442,0.54889,1.50947,0.6859,1.36401,0.005842,0.005842,0.005842
