epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3409.79,1.43949,0.68695,1.17197,0.95504,0.93966,0.97482,0.58904,1.44135,0.55822,1.20574,0.007162,0.007162,0.007162
45,3479.89,1.43909,0.67884,1.17938,0.95512,0.94588,0.97689,0.60096,1.44269,0.54718,1.20706,0.007096,0.007096,0.007096
46,3548.29,1.43303,0.67492,1.17142,0.93898,0.94253,0.97461,0.5942,1.45088,0.55604,1.22154,0.00703,0.00703,0.00703
47,3618.7,1.4246,0.67046,1.17125,0.95915,0.94448,0.97841,0.59875,1.43207,0.54491,1.20464,0.006964,0.006964,0.006964
48,3689.83,1.42745,0.67312,1.16922,0.953,0.94195,0.97427,0.59453,1.43191,0.54557,1.20971,0.006898,0.006898,0.006898
49,3761.07,1.42201,0.66854,1.16727,0.95667,0.94301,0.97774,0.60146,1.43289,0.55132,1.20815,0.006832,0.006832,0.006832
50,3829.64,1.4042,0.65531,1.16057,0.96175,0.94301,0.97513,0.59859,1.43445,0.54362,1.21093,0.006766,0.006766,0.006766
51,3900.65,1.41552,0.6608,1.16423,0.95562,0.95642,0.97799,0.60003,1.42107,0.53685,1.20052,0.0067,0.0067,0.0067
52,3968.52,1.41769,0.66287,1.16107,0.95364,0.94587,0.97425,0.59187,1.44044,0.54026,1.21655,0.006634,0.006634,0.006634
53,4036.86,1.40415,0.64862,1.16377,0.95656,0.93918,0.97539,0.60077,1.43211,0.53432,1.21081,0.006568,0.006568,0.006568
54,4106.73,1.39975,0.64984,1.15801,0.9566,0.95014,0.97881,0.60791,1.42002,0.53167,1.20235,0.006502,0.006502,0.006502
55,4176.98,1.40392,0.64718,1.15957,0.95913,0.94732,0.97966,0.60968,1.42534,0.51704,1.20853,0.006436,0.006436,0.006436
56,4248.91,1.39291,0.64119,1.14855,0.9609,0.94492,0.97695,0.60388,1.42583,0.52166,1.20488,0.00637,0.00637,0.00637
57,4322.38,1.40072,0.63692,1.15207,0.96564,0.94301,0.97814,0.60611,1.42616,0.51507,1.20675,0.006304,0.006304,0.006304
58,4397.09,1.37861,0.64015,1.14385,0.96479,0.95115,0.98151,0.61177,1.41285,0.51502,1.19964,0.006238,0.006238,0.006238
59,4472.37,1.39451,0.63805,1.15076,0.96905,0.95354,0.98209,0.61449,1.41408,0.5146,1.19293,0.006172,0.006172,0.006172
60,4548.93,1.38686,0.63308,1.14759,0.96776,0.95163,0.98023,0.61299,1.40868,0.51157,1.19455,0.006106,0.006106,0.006106
61,4626.25,1.39021,0.63229,1.14491,0.9658,0.96021,0.98272,0.62008,1.40956,0.51089,1.19238,0.00604,0.00604,0.00604
62,4695.97,1.38229,0.62288,1.14429,0.96313,0.95546,0.98143,0.61341,1.41745,0.50738,1.19402,0.005974,0.005974,0.005974
63,4775.16,1.37899,0.63262,1.13994,0.97344,0.94492,0.9817,0.61495,1.4118,0.5068,1.18654,0.005908,0.005908,0.005908
64,4851.37,1.37688,0.61855,1.13751,0.97175,0.95594,0.98277,0.61712,1.40547,0.49944,1.1864,0.005842,0.005842,0.005842
65,4931.06,1.37971,0.62336,1.14712,0.96302,0.96121,0.98156,0.61364,1.3966,0.49612,1.19362,0.005776,0.005776,0.005776
66,5012.24,1.3687,0.62017,1.13967,0.9647,0.95833,0.97995,0.61786,1.40121,0.49672,1.19147,0.00571,0.00571,0.00571
